Desc	Family ID	Adohon	Amytra	Arcpla	Bicany	Bommor	Calcec	Cydspl	Danple	Heldem	Hellat	Helmel	Hylves	Hypkah	Juncoe	Leracc	Mansex	Melcin	Opebru	Ostnub	Papgla	Papmac	Pappol	Papxut	Phosen	Pienap	Ploint	Pluxyl	Spofru	Tricni	Vancar
(null)	208	8	11	9	7	7	10	7	8	7	8	10	8	8	7	7	8	8	9	8	6	7	6	7	8	6	8	9	9	8	9
(null)	209	28	11	5	4	2	3	15	3	4	8	6	11	25	9	4	6	5	9	6	5	9	6	7	7	4	5	11	6	10	3
(null)	210	6	9	6	8	7	9	8	9	8	8	8	7	7	7	9	7	8	10	10	8	10	9	7	7	7	8	7	7	9	7
(null)	211	10	7	10	8	12	6	9	7	6	7	8	7	7	7	8	8	10	9	10	6	6	8	8	7	6	8	6	8	8	9
(null)	212	4	1	19	16	0	9	23	1	0	0	0	1	27	4	2	14	10	4	3	20	19	3	3	5	7	4	14	1	21	1
(null)	213	5	9	4	8	7	8	6	8	9	7	6	8	7	10	7	6	10	7	9	6	11	10	6	11	8	7	8	10	7	6
(null)	214	23	3	10	2	3	18	9	2	3	2	2	11	3	17	6	23	2	33	4	7	10	6	7	4	2	1	4	6	2	4
(null)	215	10	11	5	7	7	8	7	7	8	9	8	9	8	7	7	8	8	8	8	6	6	5	7	8	8	7	7	9	9	7
(null)	216	7	7	7	8	7	6	7	7	8	9	7	10	7	7	7	8	10	8	8	8	7	9	7	8	7	8	7	7	7	7
(null)	217	1	0	2	1	3	6	5	40	2	4	3	4	25	30	1	3	14	6	0	2	12	14	2	5	3	0	0	3	8	28
(null)	218	11	9	11	9	6	11	10	14	4	5	5	5	12	6	7	5	8	7	9	6	7	6	6	7	9	10	5	6	6	5
(null)	219	20	4	15	7	7	8	8	9	7	8	7	6	6	6	7	5	7	10	8	5	7	8	7	6	6	5	4	7	7	8
(null)	220	8	8	8	5	11	12	9	9	9	11	8	9	6	8	3	5	4	11	8	6	5	5	6	6	5	6	11	8	6	4
(null)	221	7	6	4	11	6	7	5	8	7	16	8	7	6	9	7	6	11	6	4	6	8	7	7	7	8	6	8	5	8	7
(null)	222	5	7	9	6	10	9	5	7	5	8	8	11	6	11	4	7	8	11	6	7	9	7	8	6	8	6	5	9	5	5
(null)	223	6	7	0	9	9	12	2	9	10	8	8	6	4	8	4	6	4	10	4	11	9	4	9	12	5	6	1	12	13	9
(null)	224	16	16	0	6	8	19	21	9	4	3	4	8	5	13	3	8	3	6	6	4	2	2	1	9	0	12	6	3	9	10
(null)	225	6	7	8	9	7	6	7	8	8	9	6	7	8	8	6	7	8	7	6	6	9	9	7	7	6	8	6	5	6	7
(null)	226	6	6	19	3	3	13	24	9	7	2	5	8	0	12	6	3	13	0	6	2	1	3	0	6	4	1	1	8	2	40
(null)	227	7	4	10	0	0	0	67	1	0	0	1	0	76	1	0	0	0	5	10	1	3	0	0	4	0	2	2	16	1	1
